split,image_id,orig_width,orig_height,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,crop_status,old_label_count,new_label_count,dropped_label_count
train,080220733f46127184e6e0158d66c2e3,1609,2048,0,409,501,1592,501,1183,ok,1,1,0
train,0806729f6ebeb658662051e8bdcfab3c,1555,2048,0,0,636,1577,636,1577,ok,1,1,0
train,082589f97e67c79a6f4740933d7cc13f,1630,2048,0,0,614,1686,614,1686,ok,0,0,0
train,08490d6ee0e276c8a4daaf106d9a01e0,1630,2048,1185,242,1630,1616,445,1374,ok,0,0,0
train,08502b90fb4d5e049f9024f155491fac,1630,2048,1173,109,1630,1485,457,1376,ok,0,0,0
train,0860f56cde9bd39dde73f2225c5f5023,1630,2048,1012,0,1630,1636,618,1636,ok,0,0,0
train,08a64894ac411114c25dd709e2bcc471,1630,2048,1171,302,1630,1550,459,1248,ok,3,3,0
train,08c4c93e7f0ad35319f072365533892c,1630,2048,0,399,708,1974,708,1575,ok,0,0,0
train,0939019fd916e0748e07d9546cd8bdf5,1630,2048,1062,165,1630,1410,568,1245,ok,1,1,0
train,094ead537f6ed7a208bde7b1dd43ffa3,1630,2048,898,0,1630,1688,732,1688,ok,0,0,0
train,0973fb7038cadd96651459fa64e00536,1630,2048,0,0,665,1909,665,1909,ok,0,0,0
train,0974ba6d4ca858d8cb1f0e08b320370e,1630,2048,1057,0,1630,1759,573,1759,ok,0,0,0
train,098e9dc16de1f8a417578b2e843998f6,1630,2048,0,0,615,1496,615,1496,ok,0,0,0
train,09c469e3ea3fcac9657ec1555f423e9b,1630,2048,0,0,471,2048,471,2048,ok,0,0,0
train,09d71ae86ca0383de5dcbcc40fa421ce,1630,2048,1107,313,1630,1664,523,1351,ok,1,1,0
train,09db82a9247c417ef0edfb7a09843db1,1630,2048,884,93,1630,2048,746,1955,ok,0,0,0
train,0a28271851202922e06873263cf7439b,1630,2048,1199,445,1630,1665,431,1220,ok,0,0,0
train,0ab3069be9e0d01033c2614359ed52c9,1630,2048,1068,206,1630,1640,562,1434,ok,0,0,0
train,0abdf3f3255cb44a2a15908a811fe6e3,1630,2048,890,0,1630,1523,740,1523,ok,1,1,0
train,0ac950834b6f143b8fc1b3a1b2102faa,1630,2048,0,222,558,1585,558,1363,ok,0,0,0
train,0adc8a85d70d053c80a88bb97d108e44,1630,2048,888,99,1630,2048,742,1949,ok,1,1,0
train,0b269443b8ac83a3a6de8422df002229,1630,2048,0,410,590,1830,590,1420,ok,0,0,0
train,0b5573dd1cf124f90103d00f866c7e49,1630,2048,1163,328,1630,1631,467,1303,ok,0,0,0
train,0bac94530476031873566b909b8f1161,1630,2048,0,0,382,1455,382,1455,ok,1,1,0
train,0c0e4808733f336ccc4397740c418c31,1630,2048,1078,0,1630,1877,552,1877,ok,0,0,0
train,0cc4c55d8a103691fbed1315de46f46b,1630,2048,1025,0,1630,1783,605,1783,ok,0,0,0
train,0cf9cd3d36a7bfb95e66c0ba482eb8c0,1630,2048,946,194,1630,1644,684,1450,ok,3,3,0
train,0d08356a2638c214fbc6cbeb24251c0c,1630,2048,0,290,495,1632,495,1342,ok,1,1,0
train,0d449385da79a624a1e6414f157452b5,1630,2048,1262,0,1630,1471,368,1471,ok,0,0,0
train,0d58856b402c571d3fa0fc19d26267ca,1630,2048,1091,184,1630,1717,539,1533,ok,2,2,0
train,0d6987fc066d2fad238b5c15f4e9bf8e,1630,2048,1128,0,1630,1547,502,1547,ok,1,1,0
train,0d6ee321220fddce300e3deced631c18,1630,2048,1043,290,1630,1568,587,1278,ok,0,0,0
train,0dc38f7b2936fff46ec10a0beb5aaeb2,1609,2048,0,401,384,1503,384,1102,ok,1,1,0
train,0dddd9fce00e2dba24a40b27753c657e,1609,2048,0,211,949,1786,949,1575,ok,0,0,0
train,0de03bea36a3e5ff1715defecc4bc027,1630,2048,1021,438,1630,1805,609,1367,ok,0,0,0
train,0e1eff7c2d605c08b78bf2598a1a4dd4,1465,2048,781,0,1465,1656,684,1656,ok,0,0,0
train,0e3db7bbea14c6dd5dbab7b95bfe82e4,1630,2048,1193,0,1630,1481,437,1481,ok,1,1,0
train,0f37159abdcef6a062e404df47e8f1ac,1465,2048,810,304,1465,1951,655,1647,ok,1,1,0
train,0fb063fe3b46db2bbe83d124a3793101,1465,2048,1061,451,1465,1779,404,1328,ok,1,1,0
train,0ff23ad9989f508517b61605b4fccb87,1465,2048,0,0,644,2007,644,2007,ok,0,0,0
train,1027035c3d31554b99f53865f3a51a50,1465,2048,827,24,1465,1716,638,1692,ok,0,0,0
train,10e0019ae8ce05748b47e9b02131de7f,1609,2048,1068,156,1609,1667,541,1511,ok,1,1,0
train,10f51b35c67d32d449557c631f84461c,1630,2048,979,215,1630,1743,651,1528,ok,0,0,0
train,114d538a35b1b8e8ab15ba05d790dc8d,1630,2048,1030,385,1630,1703,600,1318,ok,0,0,0
train,116a7bd5a30ffeeb2c892064f21bd360,1630,2048,0,0,489,1598,489,1598,ok,0,0,0
train,11746a4603b54185902398e1bd07cc3b,1609,2048,0,517,557,1941,557,1424,ok,0,0,0
train,11ad49282c890423f5bd94803842d89c,1630,2048,1178,324,1630,1633,452,1309,ok,1,1,0
train,11b8d57615519367276e766b61684f04,1465,2048,0,0,548,1695,548,1695,ok,2,2,0
train,11b953e33bdaee7933f8d1db574942af,1630,2048,0,0,449,1343,449,1343,ok,1,1,0
train,11d1c20d269f487d47fa5fc80c6f7722,1630,2048,0,0,492,1417,492,1417,ok,1,1,0
train,11d58b8d2f895c5dd03b55dfb75b391c,1465,2048,754,107,1465,1758,711,1651,ok,0,0,0
train,11d7d3658b66d8515393a4c8189104c6,1630,2048,0,471,406,1676,406,1205,ok,0,0,0
train,11dbf2405e94335db8d8011db532a5ac,1630,2048,1042,0,1630,1582,588,1582,ok,2,2,0
train,120509b6c25ba36b0d752b1ea3877570,1630,2048,1112,258,1630,1561,518,1303,ok,0,0,0
train,12284c56ca4887b1747c1f45bce853f1,1630,2048,0,439,484,1706,484,1267,ok,3,3,0
train,128ed41245d5a02c799aba4f24e65e11,1630,2048,1119,201,1630,1577,511,1376,ok,0,0,0
train,129b633979a43461369df710e69e111d,1630,2048,1005,0,1630,1592,625,1592,ok,1,1,0
train,132095e759b34fba0adcba4205e1b513,1609,2048,792,0,1609,2048,817,2048,ok,2,2,0
train,13467a014e4404f1622b8efa8f52c182,1630,2048,0,0,596,1878,596,1878,ok,0,0,0
train,136a7d195b654c4bf862fdd076c77574,1630,2048,0,108,426,1429,426,1321,ok,1,1,0
train,13904c61cc7e21ba53be8fd13dfffa82,1609,2048,871,0,1609,1944,738,1944,ok,0,0,0
train,13b80852b3cdd0899c6eabb210c87765,1630,2048,1119,334,1630,1572,511,1238,ok,0,0,0
train,13d53752b7be7ba9d904bec31ed38748,1609,2048,0,0,594,1689,594,1689,ok,0,0,0
train,13ea2c59ed904bde1da93f3160edb462,1630,2048,1014,398,1630,1732,616,1334,ok,1,1,0
train,14387f59b61cfdebf1fc0ac124efaf6d,1630,2048,1123,0,1630,1975,507,1975,ok,1,1,0
train,14acad71e74049aafe906a0dedd22a09,1630,2048,1139,0,1630,1476,491,1476,ok,0,0,0
train,1507cf98ea325351b0104cb854a6ac83,1500,2048,0,227,399,2048,399,1821,ok,1,1,0
train,150cb5d7fd49a32058caaa51714e8cd0,1630,2048,1115,0,1630,1579,515,1579,ok,1,1,0
train,150d9996839f2b8a8b1190fa1a3d51c1,1609,2048,0,294,639,1772,639,1478,ok,0,0,0
train,1545d3528b9cc99bcdf09d4b2b434f59,1609,2048,0,0,632,2048,632,2048,ok,3,3,0
train,154bd0a81fb28d3b7d91fa4d5232b23b,1465,2048,0,0,704,1689,704,1689,ok,0,0,0
train,1599fe0c3047a8378992398f9b52de54,1609,2048,0,283,599,2048,599,1765,ok,0,0,0
train,15c8e59fdfafb3deefc80c5a9e8a42d0,1465,2048,712,172,1465,1808,753,1636,ok,1,1,0
train,15f2e36521ccae32ee5ba13db9a8c02d,1465,2048,907,0,1465,1725,558,1725,ok,1,1,0
train,1602edb21b5e339d6173d362281006a6,1465,2048,0,0,767,1992,767,1992,ok,0,0,0
train,16249821f7b29715c3bb8bd6db88f00a,1630,2048,0,356,541,1607,541,1251,ok,0,0,0
train,163a193319afa5e3bf8fb33a44f1f795,1630,2048,0,0,552,1697,552,1697,ok,0,0,0
train,1640441d5a278df98b6117cd7cd3d80c,1609,2048,0,0,679,2048,679,2048,ok,0,0,0
train,16772df2fc68173354ed7b5684e40a56,1465,2048,511,0,1465,1942,954,1942,ok,2,2,0
train,16c5567c9a2c621c980a8992f6540c01,1465,2048,469,275,1465,2048,996,1773,ok,1,1,0
train,16cc590d0a78a8c0bea666934e52e2e7,1609,2048,1072,366,1609,1738,537,1372,ok,0,0,0
train,17127fbc6f1c700106b7ec6725012007,1630,2048,0,0,745,1655,745,1655,ok,1,1,0
train,174e6055becf36c2dbe1f28e74485644,1630,2048,946,0,1630,1748,684,1748,ok,0,0,0
train,175c9ad9cb031644884079a42f660dfc,1630,2048,0,234,513,1510,513,1276,ok,1,1,0
train,17863d144762fb31418c8a324059243f,1465,2048,0,7,1048,2048,1048,2041,ok,0,0,0
train,17b3532d9302efea2d05ed05a87a15b1,1465,2048,0,0,659,2048,659,2048,ok,0,0,0
train,17b95f09393dd1f6f7cad0259c0dc236,1465,2048,0,0,632,1779,632,1779,ok,0,0,0
train,17bceaea0bcbd44c3c89f5d88bbb430b,1630,2048,986,0,1630,2048,644,2048,ok,0,0,0
train,17c3d032d611eb3d1baf3434d62483a1,1630,2048,1101,122,1630,1932,529,1810,ok,0,0,0
train,17d91701b085d4cb0ae1c7b1c0af2bb1,1630,2048,0,379,654,1545,654,1166,ok,1,1,0
train,17de42eb1bf8e877778a1f4f81145506,1465,2048,0,122,566,1685,566,1563,ok,1,1,0
train,185d72636122b93911abdbe015985e40,1630,2048,0,0,498,2043,498,2043,ok,1,1,0
train,18a10e43b45786b4311bed1e5e5a56dd,1465,2048,292,0,1465,2048,1173,2048,ok,0,0,0
train,18ddefee99395e4168facfce6a0317d9,1630,2048,0,0,679,2048,679,2048,ok,0,0,0
train,19189466123f991dfd57d7b963c9c908,1630,2048,0,446,440,1510,440,1064,ok,1,1,0
train,198b5967aaa577ad4089badb22689972,1630,2048,0,0,495,1779,495,1779,ok,0,0,0
train,19acc4b912b5637af651392bc1fe6b6e,1609,2048,0,80,718,1559,718,1479,ok,1,1,0
train,1a1d13244aaafa6a12988c4e1d3efe5b,1630,2048,1037,253,1630,1666,593,1413,ok,2,2,0
train,1a7e527b1c6cab713b2633257ec6b4cc,1630,2048,1181,268,1630,2048,449,1780,ok,0,0,0
train,1a96a240cc0748f1ae02bc6a0126aac6,1630,2048,0,0,750,1971,750,1971,ok,0,0,0
train,1b26a908ba95c2e63e58f1a44d5a3490,1630,2048,0,0,496,1624,496,1624,ok,1,1,0
train,1bf6f2c0191b9bb14de79031cfdb7f71,1465,2048,0,49,753,1645,753,1596,ok,0,0,0
train,1c49d789055034b2d72cb03d5c62714d,1630,2048,0,478,642,1956,642,1478,ok,0,0,0
train,1c4e0d2ea8fc8a063cc28032dccccd2a,1465,2048,0,82,562,1945,562,1863,ok,0,0,0
train,1c77399720e266b2124c6151b7bec82b,1630,2048,1179,379,1630,1680,451,1301,ok,2,2,0
train,1d136d5f293069a1f77f544cf0f8265b,1630,2048,1179,285,1630,1913,451,1628,ok,1,1,0
train,1d15e5c98d1e27d9fe80aac31d573d9b,1630,2048,0,76,809,2048,809,1972,ok,0,0,0
train,1d2d50c66ee2e230c6327076c2fe6d00,1630,2048,1019,0,1630,1917,611,1917,ok,1,1,0
train,1d51d5bd22846821409cb531a95979d2,1630,2048,0,191,505,1767,505,1576,ok,1,1,0
train,1d605d35628064e2f14c0f629b34459d,1527,2048,0,253,426,1462,426,1209,ok,1,1,0
train,1d66347d2b84fc402e2c2e65372180c0,1630,2048,1183,331,1630,1570,447,1239,ok,0,0,0
train,1d9942a3dd57e048d36fc793694ee124,1509,2048,0,0,579,1550,579,1550,ok,0,0,0
train,1dda87c5adb8efb52c1e559ea4cabf54,1465,2048,0,194,780,1979,780,1785,ok,1,1,0
train,1ddb3b37690c98df094920a905b880ac,1630,2048,0,0,603,1648,603,1648,ok,0,0,0
train,1df290db9b7769fabaddab943891889d,1630,2048,0,0,667,2048,667,2048,ok,1,1,0
train,1e1e7be943c06f5f20c0b0d5b7adec8c,1630,2048,1067,254,1630,1603,563,1349,ok,0,0,0
train,1e4bc73c2bc89ee64dcab857f0e09517,1609,2048,0,332,680,1734,680,1402,ok,0,0,0
train,1e663cd20ecf71b1ea855965ff71dac8,1465,2048,0,451,534,1916,534,1465,ok,0,0,0
train,1e7ad5577c2f5e49294f9c3660968910,1465,2048,0,0,710,1638,710,1638,ok,1,1,0
train,1eef911053b9cbd0d3d7749c2e288cf1,1630,2048,935,103,1630,1610,695,1507,ok,0,0,0
train,1f2ad3de97b6d7a4d8f78af09c11b580,1609,2048,0,192,475,1564,475,1372,ok,2,2,0
train,1f45cd19b6bfb4583c0c259743765aa9,1630,2048,1060,159,1630,1536,570,1377,ok,0,0,0
train,1f4e4c2039476a9884bdd84c20d1484f,1630,2048,1258,358,1630,1407,372,1049,ok,1,1,0
train,1f6e85f08f0d4626eedef5a6e3c9998f,1630,2048,1158,318,1630,1612,472,1294,ok,0,0,0
train,1f741efcce7da5f4fcc10378eeeab159,1630,2048,0,250,484,1608,484,1358,ok,1,1,0
train,1f9c3f799e3dc122b5c483f2243703d8,1630,2048,1139,0,1630,2048,491,2048,ok,0,0,0
train,1fa206b8913d99cbb1c60db491af5805,1630,2048,0,0,724,1774,724,1774,ok,0,0,0
train,1fa586cd078894845bf4a1648232cde7,1609,2048,0,0,561,1664,561,1664,ok,1,1,0
train,20ac518bf6370bc7c2b1adcf7377def8,1465,2048,573,0,1465,2048,892,2048,ok,1,1,0
train,20b4b2c70e6c4e1d4ab6d1b9b9be5308,1630,2048,0,0,587,1674,587,1674,ok,1,1,0
train,20e22b55458ddc1002871f0b10bc0c91,1630,2048,0,316,532,1626,532,1310,ok,1,1,0
train,20e33b43e06836a710ce82efb89e9c9b,1630,2048,0,0,506,2048,506,2048,ok,0,0,0
train,212bc03533346819d0c6d449d631f69f,1630,2048,1258,314,1630,1484,372,1170,ok,1,1,0
train,215186ee75b38c34499cd0ebadc7ed20,1630,2048,956,0,1630,1447,674,1447,ok,1,1,0
train,2167f4da549862d60f43782cd38fb8ae,1630,2048,909,0,1630,1901,721,1901,ok,1,1,0
train,216bcdbcf4b0a44d8c1bef2e6c0de16e,1630,2048,0,266,657,1679,657,1413,ok,0,0,0
train,21a78229489f5b35b0b037f678a5cac4,1630,2048,1128,0,1630,1650,502,1650,ok,1,1,0
train,2253cb8df683fdb15bcd6c0f3c19b761,1630,2048,0,0,606,1648,606,1648,ok,0,0,0
train,22ddf5aaa418fa036165491a5d7bc11b,1630,2048,1062,0,1630,2048,568,2048,ok,0,0,0
train,23074a22d967fc9b6161a695f64d3fcd,1630,2048,1112,0,1630,1486,518,1486,ok,0,0,0
train,230d88855d53b8edfb4c3cc7ef1248db,1609,2048,0,246,568,1649,568,1403,ok,3,3,0
train,2311c127704c6b0cf325d4da697d2b26,1630,2048,0,0,488,1678,488,1678,ok,1,1,0
train,232f33051c77bd6ce2d185aafe9471a3,1630,2048,0,370,392,1413,392,1043,ok,2,2,0
train,234ba4da7ace03bc686fe17b05bd1aef,1465,2048,0,275,745,2048,745,1773,ok,0,0,0
train,234e773eaa0619c50f1ddcc15d00a7be,1630,2048,0,0,577,1744,577,1744,ok,0,0,0
train,23570fe4b2468282412fe26bd48dc8b9,1609,2048,870,155,1609,1622,739,1467,ok,0,0,0
train,2373df6761803e7499ded779193bc96c,1465,2048,763,0,1465,1913,702,1913,ok,0,0,0
train,23996a0f1390fb6e92b377327c0f8f9b,1465,2048,843,0,1465,1488,622,1488,ok,0,0,0
train,23ad7fe9b48851480b0d31994b5d45bd,1630,2048,0,0,534,1527,534,1527,ok,0,0,0
train,23db13def3d7b27ac274cafd7bb6fc16,1609,2048,854,0,1609,1918,755,1918,ok,0,0,0
train,23edfe4412bf14c73110dec6fdd9e66b,1630,2048,963,224,1630,1629,667,1405,ok,1,1,0
train,2438ce076b0eaaf87f40f5bb0e9a712a,1630,2048,0,0,432,1607,432,1607,ok,0,0,0
train,244994960e5f6e3c406ee4c137119c3b,1630,2048,0,0,490,1481,490,1481,ok,0,0,0
train,24695ecf8d7cc8bf8b51ed3dab981a6c,1465,2048,834,0,1465,2048,631,2048,ok,0,0,0
train,24da46045c5bb3dba6223d63c8a6db5a,1609,2048,1131,371,1609,1757,478,1386,ok,0,0,0
train,24f2397626a9dd77844c30af11d352f0,1630,2048,962,351,1630,2048,668,1697,ok,1,1,0
train,25221c02e091e6ca82e2fc2b582a6e1f,1630,2048,0,0,546,1843,546,1843,ok,0,0,0
train,2524b3039b9f14943744db0d3d8e34dc,1630,2048,0,62,721,1626,721,1564,ok,1,1,0
train,254a67265452f4b67a953c445a71f664,1630,2048,0,0,575,1680,575,1680,ok,0,0,0
train,255f0dcc5ca3131051e5fc06af99fca9,1630,2048,1090,121,1630,1525,540,1404,ok,1,1,0
train,262ff38a88c44e1fb5a13652ef2bc246,1630,2048,0,269,583,1605,583,1336,ok,0,0,0
train,264233e448f4ac70a925dca6d1bfb64e,1465,2048,757,0,1465,2017,708,2017,ok,2,2,0
train,264c80998c37d9d2764771a64792130b,1630,2048,0,73,667,1645,667,1572,ok,0,0,0
train,265a2978da4a9a2fa56c4a43a48761a6,1630,2048,0,242,503,1559,503,1317,ok,0,0,0
train,2682bff9b89f87ca6a9242cbcf4256be,1609,2048,803,0,1609,1673,806,1673,ok,1,1,0
train,269e98f5e3f8aa102bc2c0cb867f3385,1630,2048,1250,152,1630,1402,380,1250,ok,0,0,0
train,26b447a9cadbf99a1e11f7456fb63efb,1630,2048,1099,231,1630,1600,531,1369,ok,0,0,0
train,26cc531e126e10d88eec413dcf0a4963,1591,2048,0,0,621,1938,621,1938,ok,1,1,0
train,26dd42f1a4341cdf6feebd22564f8939,1630,2048,1039,281,1630,1622,591,1341,ok,1,1,0
train,26f1aa81239b33177321598a0eb599d2,1630,2048,0,0,652,2048,652,2048,ok,0,0,0
train,27a993edd94965c0f8192f3fcec02394,1630,2048,0,0,717,1565,717,1565,ok,0,0,0
train,27d9bf4e5b772624325d6232ffc8378a,1630,2048,1148,0,1630,1618,482,1618,ok,1,1,0
train,27e0bc4647d8bdb17cf5e187a2854ad8,1630,2048,0,42,625,1620,625,1578,ok,0,0,0
train,282b21e3189b995ede108815e740e644,1630,2048,0,309,454,1609,454,1300,ok,0,0,0
train,282e3991652493cff28465ed8f29f03f,1630,2048,0,0,481,1679,481,1679,ok,0,0,0
train,283a13f9619b6177a7c389ca6685d715,1630,2048,1128,0,1630,1636,502,1636,ok,1,1,0
train,2886954b2134834a028ab36c8cb304d2,1630,2048,1162,320,1630,1491,468,1171,ok,0,0,0
train,28e89b25a61529a29660a2042725c41c,1630,2048,0,270,643,1600,643,1330,ok,0,0,0
train,28f1ac1024b3d9ddbfcf166818c0e78e,1630,2048,1206,407,1630,1664,424,1257,ok,0,0,0
train,293f56aa2f38c52c70ed4a92e2f01b46,1630,2048,0,222,542,1521,542,1299,ok,2,2,0
train,29409efa3402b9d8f044f04308b5d2d7,1630,2048,0,0,490,2048,490,2048,ok,1,1,0
train,2973bcf878fad1e9edade25be62602ce,1465,2048,632,10,1465,2048,833,2038,ok,2,2,0
train,29816c46b540d79fa62a6f87c6a8d6fc,1630,2048,1038,0,1630,1668,592,1668,ok,0,0,0
train,29896919b15b2dd978a36b2f68a5ad93,1630,2048,1102,0,1630,1914,528,1914,ok,1,1,0
train,29fa27705317bd108ed3b927fdc4e3a0,1630,2048,0,0,455,2048,455,2048,ok,0,0,0
train,2a04163be4ae7d6f70732904202cc934,1630,2048,1129,182,1630,1608,501,1426,ok,2,2,0
train,2ac008d751dbe9d70d86a82e6544928e,1630,2048,983,412,1630,1653,647,1241,ok,0,0,0
train,2ac6ca9749e1620e1ade79dfdba0cf1c,1630,2048,1038,302,1630,1710,592,1408,ok,0,0,0
train,2adba7934d0118b1f0600e93259db922,1609,2048,977,67,1609,1530,632,1463,ok,0,0,0
train,2b46a6fc2c076cfc187b385f6a6f40e6,1630,2048,0,0,1630,2048,1630,2048,fallback_small_contour,2,2,0
train,2b76a18e45c8e62db919403c6c526ec4,1630,2048,1167,223,1630,1415,463,1192,ok,1,1,0
train,2b7b2e4286e785db745b0b43b487f904,1465,2048,883,0,1465,1763,582,1763,ok,0,0,0
train,2bb31d34320c4d1005371802dcac319c,1630,2048,0,239,474,1441,474,1202,ok,1,1,0
train,2bbd9c0a4a6d29e644294ca5e8448f9e,1630,2048,0,317,414,1676,414,1359,ok,0,0,0
train,2bc80ebd58505c88bf1fc81b72c4fa42,1630,2048,0,495,387,1580,387,1085,ok,1,1,0
train,2bd9c72b886e97da1aff1361962c6acc,1465,2048,0,0,930,1999,930,1999,ok,0,0,0
train,2bfafe903b3edfefb46d098b15651b9d,1630,2048,0,89,479,1490,479,1401,ok,0,0,0
train,2c021b1ed5213d94d71da2a791e65055,1630,2048,963,0,1630,1605,667,1605,ok,0,0,0
train,2c47b7c3864f531485f0c45061772c61,1465,2048,0,0,770,2048,770,2048,ok,0,0,0
train,2cedf9121ad3313794d4a2a98ba4a625,1630,2048,800,171,1630,2048,830,1877,ok,0,0,0
train,2d100f58ccbee16aa703af0c79a4f1e4,1630,2048,1100,191,1630,1593,530,1402,ok,0,0,0
train,2d9d38dd92036611b2012b4f3dd41aa4,1630,2048,0,0,647,1727,647,1727,ok,0,0,0
train,2da549c2cac035213321043570aaf5a4,1630,2048,0,0,594,1600,594,1600,ok,1,1,0
train,2db1355fec22b079098465bcc763b67c,1630,2048,1081,285,1630,1570,549,1285,ok,0,0,0
train,2dde5ebd2f4c3ec98c3f81fc5b249005,1630,2048,0,198,544,1459,544,1261,ok,0,0,0
train,2e545f76df525fd43c42f9a8745455d1,1630,2048,0,194,712,1689,712,1495,ok,0,0,0
train,2e62eeadcca2218c0aba4f2921a27153,1630,2048,1197,0,1630,1456,433,1456,ok,1,1,0
train,2e7df7e047d83d145fe8b5283800b637,1630,2048,0,0,480,1797,480,1797,ok,0,0,0
train,2ee7f36fd6e157b40d4f0326f6fcc0d2,1630,2048,0,158,607,1590,607,1432,ok,1,1,0
train,2eea1ba2cc3860a65d2f95bd497dc6b7,1465,2048,0,0,834,2048,834,2048,ok,0,0,0
train,2f11b93c073630fc866ebd61708c49c5,1630,2048,1109,0,1630,1659,521,1659,ok,0,0,0
train,2f273193ea826c1478ea48b2eb17e383,1630,2048,1094,144,1630,1544,536,1400,ok,0,0,0
train,2f435606b7101ceed025a87dc5df8ae0,1630,2048,0,445,544,1710,544,1265,ok,0,0,0
